cost_function,value,name,level,method,dynamic_schedule,semantic_param_path,scenario_name
all_time_peak_average,1.0276552349614205,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
annual_normalized_unserved_energy_total,0.0,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
carbon_emissions_total,1.0287067817627407,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
cost_total,0.955552151128083,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
daily_one_minus_load_factor_average,0.9919569131498057,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
daily_peak_average,1.0913546185818517,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_average,0.0,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_maximum,0.0,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_minimum,0.0,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_proportion,,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_average,0.0,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_maximum,0.0,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_minimum,0.0,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_proportion,,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_proportion,,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
electricity_consumption_total,1.0634029694478335,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
monthly_one_minus_load_factor_average,0.9925552210053445,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
one_minus_thermal_resilience_proportion,,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
power_outage_normalized_unserved_energy_total,,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
ramping_average,1.1328706395206003,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
zero_net_energy,1.0722960301092885,District,district,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
electricity_consumption_total,1.038628725989298,Building_1,building,llm_cc_mcts_dynamic_no_action_sort,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
