cost_function,value,name,level,method,dynamic_schedule,semantic_param_path,scenario_name
all_time_peak_average,1.064485410398536,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
annual_normalized_unserved_energy_total,0.0,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
carbon_emissions_total,1.0382870285723318,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
cost_total,0.9725524611971661,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
daily_one_minus_load_factor_average,1.0037871036859796,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
daily_peak_average,1.1277155906830962,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_average,0.0,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_maximum,0.0,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_minimum,0.0,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_proportion,,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_average,0.0,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_maximum,0.0,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_minimum,0.0,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_proportion,,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_proportion,,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
electricity_consumption_total,1.0648410921172649,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
monthly_one_minus_load_factor_average,0.9987748974414555,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
one_minus_thermal_resilience_proportion,,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
power_outage_normalized_unserved_energy_total,,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
ramping_average,1.1670974155181537,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
zero_net_energy,1.0659236251574344,District,district,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
electricity_consumption_total,1.0420892617501678,Building_1,building,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
zero_net_energy,1.0511182358249076,Building_1,building,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
carbon_emissions_total,1.0196362846315017,Building_1,building,llm_cc_mcts_dynamic_no_prior,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
