cost_function,value,name,level,method,dynamic_schedule,semantic_param_path,scenario_name
all_time_peak_average,1.0276552349614205,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
annual_normalized_unserved_energy_total,0.0,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
carbon_emissions_total,1.0389855307503975,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
cost_total,0.9609061507818064,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
daily_one_minus_load_factor_average,0.9967689407844476,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
daily_peak_average,1.1106953886934585,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_average,0.0,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_maximum,0.0,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_minimum,0.0,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_proportion,,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_average,0.0,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_maximum,0.0,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_minimum,0.0,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_proportion,,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_proportion,,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
electricity_consumption_total,1.0736160506037997,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
monthly_one_minus_load_factor_average,0.9988984672407747,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
one_minus_thermal_resilience_proportion,,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
power_outage_normalized_unserved_energy_total,,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
ramping_average,1.1525873358825198,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
zero_net_energy,1.0748842160040906,District,district,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
electricity_consumption_total,1.047095591504991,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
zero_net_energy,1.0580661726539338,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
carbon_emissions_total,1.0175718567126848,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
cost_total,0.9517612510766553,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_proportion,,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_proportion,,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_proportion,,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_minimum,0.0,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_maximum,0.0,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_average,0.0,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_minimum,0.0,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_maximum,0.0,Building_1,building,llm_cc_mcts_dynamic_no_smooth,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
