cost_function,value,name,level,method,dynamic_schedule,semantic_param_path,scenario_name
all_time_peak_average,0.9840578314179489,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
annual_normalized_unserved_energy_total,0.0,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
carbon_emissions_total,1.0312321042803017,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
cost_total,0.9578927617461682,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
daily_one_minus_load_factor_average,0.9942000719160695,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
daily_peak_average,1.0953668612141596,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_average,0.0,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_maximum,0.0,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_minimum,0.0,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_proportion,,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_average,0.0,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_maximum,0.0,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_minimum,0.0,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_proportion,,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_proportion,,District,district,llm_cc_mcts_dynamic_switching,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
