time_step,semantic_scenario_key,semantic_param_path,scenario_name,action_value,prior_action,score,env_reward,planning_time_seconds,method,price_weight,carbon_weight,low_q,high_q,smooth_weight,peak_charge_penalty_weight
0,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.23024678589754782,-8.055133443705238,0.14332199096679688,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
1,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.20171307456853285,-4.665883344936368,0.14300107955932617,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
2,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.1957180865509834,-2.9147168214162207,0.1425609588623047,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
3,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.18814543089797,-2.3755667322635645,0.13823199272155762,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
4,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.19000789606395876,-2.979900163682302,0.13870787620544434,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
5,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.20335027723335986,-3.5377333562533053,0.13601994514465332,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
6,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.2115475717750716,-3.153466582298279,0.13315486907958984,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
7,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.2166700746822911,-4.260350078344345,0.1441349983215332,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
8,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.2734001037935085,-3.2720500230789185,0.13944029808044434,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
9,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.29873114130840517,-2.439316689968109,0.3083510398864746,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
10,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.31995862528706603,-1.7222501337528229,0.11320185661315918,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
11,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.34728520376472605,-1.3070164322853088,0.11474299430847168,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
12,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3662248142481699,-1.313699945807457,0.11522984504699707,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
13,cost_priority,semantic_params/cost_priority.json,cost_优先,0.1,0.0,0.3837911812727689,-2.601349711418152,0.11621499061584473,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
14,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.38246840529859316,-0.9246165752410889,0.1175999641418457,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
15,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.3834071941688324,-0.9353334903717041,0.12008333206176758,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
16,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.9222095127862078,0.0,0.12255311012268066,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
17,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.9241194016366516,0.0,0.13140416145324707,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
18,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.916908873067855,-3.5289500653743744,0.13871192932128906,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
19,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.9142483788275433,-3.1141665279865265,0.14104604721069336,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
20,cost_priority,semantic_params/cost_priority.json,cost_优先,-0.1,-0.1,0.9186749157515361,-7.019133579587937,0.1452319622039795,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
21,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.37927550144460287,-12.032233457756043,0.15242290496826172,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
22,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.354863755450322,-8.375116686766837,0.14176678657531738,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
23,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.325116142539406,-6.816500228816274,0.1384429931640625,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
24,cost_priority,semantic_params/cost_priority.json,cost_优先,0.0,0.0,0.27463618467487194,-9.253525002892815,0.14752984046936035,llm_cc_mcts_dynamic_tune_c_real,0.55,0.45,0.2,0.8,0.3,1.0
