strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
dynamic,42,full,all,0,8758,8759,4731.7356723771045,4746.091332299416,16.451216459274292,15.295783281326294,0.025961867793127,0.3681927160634776,0.5618548154830932
dynamic,42,stage_1,cost_priority,0,2999,3000,1766.8378862814063,1562.1374011124776,15.268349409103394,14.217733025550842,0.0302333333333333,0.3343333333333333,0.7008227705955505
dynamic,42,stage_2,low_carbon_priority,3000,5999,3000,1978.4416066216215,1726.638353290583,16.451216459274292,15.295783281326294,0.0216666666666666,0.3993333333333333,0.6848519086837769
dynamic,42,stage_3,peak_aware,6000,8758,2759,986.4561794740767,1457.3155778963544,14.7358500957489,13.558783292770386,0.0259876766944545,0.3711489670170351,0.5618548154830932
fixed_carbon,42,full,all,0,8758,8759,4754.098365269283,4737.574262059097,16.451216459274292,15.295783281326294,0.0245347642424934,0.3874871560680443,0.1952134042978286
fixed_carbon,42,stage_1,cost_priority,0,2999,3000,1792.724052805621,1558.6046830195494,15.268349409103394,14.217733025550842,0.0264666666666666,0.382,0.7898308038711548
fixed_carbon,42,stage_2,low_carbon_priority,3000,5999,3000,1978.3665077352111,1726.2257868362703,16.451216459274292,15.295783281326294,0.0216333333333333,0.4003333333333333,0.6848821401596069
fixed_carbon,42,stage_3,peak_aware,6000,8758,2759,983.0078047284504,1452.7437922032775,14.7358500957489,13.558783292770386,0.0255889815150416,0.3794853207683943,0.1952134042978286
fixed_cost,42,full,all,0,8758,8759,4726.100202815512,4762.863316721912,16.451216459274292,15.295783281326294,0.0288845758648247,0.3417056741637173,0.5619445681571961
fixed_cost,42,stage_1,cost_priority,0,2999,3000,1766.8378862814063,1562.1374011124776,15.268349409103394,14.217733025550842,0.0302333333333333,0.3343333333333333,0.7008227705955505
fixed_cost,42,stage_2,low_carbon_priority,3000,5999,3000,1977.3126550987347,1735.8714584825282,16.451216459274292,15.295783281326294,0.0275333333333333,0.3446666666666667,0.7720573544502258
fixed_cost,42,stage_3,peak_aware,6000,8758,2759,981.949661435371,1464.854457126907,14.68006670475006,13.558783292770386,0.028887277999275,0.3465023559260601,0.5619445681571961
fixed_peak,42,full,all,0,8758,8759,4755.463043587333,4747.524324882663,16.451216459274292,15.295783281326294,0.0259047836511017,0.3728736157095559,0.5618911504745483
fixed_peak,42,stage_1,cost_priority,0,2999,3000,1789.6438103109654,1558.8474091813775,15.268349409103394,14.217733025550842,0.0272666666666666,0.3706666666666666,0.7881834149360657
fixed_peak,42,stage_2,low_carbon_priority,3000,5999,3000,1977.789299401884,1730.4420052070095,16.451216459274292,15.295783281326294,0.0244333333333333,0.377,0.4752273797988892
fixed_peak,42,stage_3,peak_aware,6000,8758,2759,988.0299338744846,1458.2349104942757,14.7358500957489,13.558783292770386,0.0260239217107647,0.3707865168539326,0.5618911504745483
dynamic,43,full,all,0,8758,8759,4738.431168214766,4750.848365375374,16.451216459274292,14.217733025550842,0.0254366936864938,0.3766411690832287,0.5604858994483948
dynamic,43,stage_1,cost_priority,0,2999,3000,1762.600593645911,1565.3523655113968,16.333150267601013,14.217733025550842,0.0288333333333333,0.339,0.7892528295516967
dynamic,43,stage_2,low_carbon_priority,3000,5999,3000,1987.413642814544,1731.281991423315,16.451216459274292,14.216033577919006,0.0237,0.387,0.8576539635658265
dynamic,43,stage_3,peak_aware,6000,8758,2759,988.4169317543112,1454.2140084406624,16.325783610343933,13.558783292770386,0.0236317506342877,0.4063066328379848,0.5604858994483948
fixed_carbon,43,full,all,0,8758,8759,4763.234721950024,4741.473586743896,16.717732667922974,16.717732667922974,0.0252882749172279,0.3847471172508277,0.5613326311111451
fixed_carbon,43,stage_1,cost_priority,0,2999,3000,1782.3458337524194,1559.0147991792974,16.717732667922974,16.717732667922974,0.0280666666666666,0.37,0.701824951171875
