strategy,period,target,cost_mean,cost_std,cost_count,carbon_kg_mean,carbon_kg_std,carbon_kg_count,peak_kw_mean,peak_kw_std,peak_kw_count,controller_peak_kw_mean,controller_peak_kw_std,controller_peak_kw_count,mean_action_mean,mean_action_std,mean_action_count,idle_fraction_mean,idle_fraction_std,idle_fraction_count,end_mean_soc_mean,end_mean_soc_std,end_mean_soc_count
dynamic,full,all,4733.150016767177,4.735141364636537,3,4744.832725785306,6.733745852758667,3,16.451216459274292,0.0,3,14.93643319606781,0.6224126053719019,3,0.0260227575446207,0.0006187598001812477,3,0.37184610115309963,0.004338394793926265,3,0.5616751790046691,0.0011104130474746832,3
dynamic,stage_1,cost_priority,1763.3687785690047,3.155930949031882,3,1564.1466546466509,1.7516448377945224,3,15.978216648101807,0.6147630622869453,3,14.217733025550842,0.0,3,0.030222222222222168,0.0013833668001306117,3,0.33488888888888885,0.0038634085890475204,3,0.7312561829884846,0.05024706698097965,3
dynamic,stage_2,low_carbon_priority,1984.850179881203,5.586860784689169,3,1726.4316064703119,4.956993050845693,3,16.451216459274292,0.0,3,14.935866713523865,0.623393781919616,3,0.02265555555555553,0.0010178044635026863,3,0.39677777777777773,0.008783401855098523,3,0.8300257205963136,0.13352100256689606,3
dynamic,stage_3,peak_aware,984.9310583169682,4.449009720749971,3,1454.2544646683427,3.0410869450507305,3,15.265827933947245,0.9179485426450502,3,13.558783292770386,0.0,3,0.0251177963030083,0.00129319048748908,3,0.38492207321493294,0.018774078777049494,3,0.5616751790046691,0.0011104130474746832,3
fixed_carbon,full,all,4760.3396825902955,5.409846161866113,3,4735.223768187809,7.699039786604841,3,16.54005519549052,0.15387320480671507,3,15.769766410191854,0.8209628611256164,3,0.024983826159759432,0.00039702557691499783,3,0.38703048293184156,0.0020927392145020443,3,0.43977454205354055,0.211797390334175,3
fixed_carbon,stage_1,cost_priority,1787.375471758526,5.196455635970256,3,1558.590574114103,0.43145256805920695,3,16.10641078154246,0.7508235835668648,3,15.051066239674887,1.4433754664975182,3,0.027677777777777735,0.0010709981498756645,3,0.37455555555555553,0.006500712211693388,3,0.7084545056025187,0.07827237260437855,3
fixed_carbon,stage_2,low_carbon_priority,1984.827900913576,5.7150015220816766,3,1726.0306382068222,4.256744040658554,3,16.451216459274292,0.0,3,14.47891096274058,1.4148643590870467,3,0.02267777777777777,0.0010854253305263273,3,0.39611111111111114,0.010647552318273449,3,0.8300565361976623,0.1335215210416003,3
fixed_carbon,stage_3,peak_aware,988.1363099181928,5.52795082210386,3,1450.6025558668834,3.3088445203424923,3,14.7358500957489,0.0,3,13.558783292770386,0.0,3,0.024562039386251,0.0009041902738705989,3,0.3907212758245741,0.011059185431237692,3,0.43977454205354055,0.211797390334175,3
fixed_cost,full,all,4723.295878324619,2.4296509195616816,3,4767.379795885439,4.003156565316218,3,17.347594340642292,0.7762860166551632,3,16.962449947992962,1.443375672974064,3,0.029832172622445433,0.0010726351805359696,3,0.33443696007915663,0.007249760950403999,3,0.5619876782099406,0.0007257831626017939,3
fixed_cost,stage_1,cost_priority,1763.3687785690047,3.155930949031882,3,1564.1466546466509,1.7516448377945224,3,15.978216648101807,0.6147630622869453,3,14.217733025550842,0.0,3,0.030222222222222168,0.0013833668001306117,3,0.33488888888888885,0.0038634085890475204,3,0.7312561829884846,0.05024706698097965,3
fixed_cost,stage_2,low_carbon_priority,1978.8312146691894,1.447020621117777,3,1740.5032570825454,4.050341866285999,3,17.347594340642292,0.7762860166551632,3,16.962449947992962,1.443375672974064,3,0.02945555555555553,0.0017430284415775234,3,0.3267777777777778,0.01706957440507439,3,0.7604627291361491,0.03708494368109026,3
fixed_cost,stage_3,peak_aware,981.0958850864243,1.7997774266134865,3,1462.7298841562435,2.203523510919323,3,15.228639006614685,0.950155098454541,3,13.558783292770386,0.0,3,0.029817566751238336,0.0008155799846194876,3,0.3422737706898635,0.0037021996970023926,3,0.5619876782099406,0.0007257831626017939,3
fixed_peak,full,all,4740.631275381443,13.653244110043088,3,4744.914227299395,7.1156356887154235,3,16.451216459274292,0.0,3,15.295783281326294,0.0,3,0.026232066065380335,0.0004445727249503006,3,0.3714274841115805,0.0042966325266035705,3,0.5616875171661376,0.0011097542384932812,3
fixed_peak,stage_1,cost_priority,1774.4932365263942,13.418448634302823,3,1560.203913895849,1.2252995502070547,3,15.6232830286026,0.6147630622869453,3,14.217733025550842,0.0,3,0.028299999999999936,0.0012342339054382408,3,0.36122222222222217,0.011796107330308059,3,0.7078904509544373,0.07743111927807189,3
fixed_peak,stage_2,low_carbon_priority,1980.9135067601649,3.414971547388875,3,1729.714496963882,4.992793992552132,3,16.451216459274292,0.0,3,15.295783281326294,0.0,3,0.024955555555555498,0.0006619276003824729,3,0.37200000000000005,0.007264831572567766,3,0.7604424277941386,0.2509831812681845,3
fixed_peak,stage_3,peak_aware,985.224532094884,4.596289373742895,3,1454.9958164396637,3.529703528622502,3,15.265827933947245,0.9179485426450502,3,13.558783292770386,0.0,3,0.0253715114171801,0.0008907724340300376,3,0.38190165518907815,0.013987633817476157,3,0.5616875171661376,0.0011097542384932812,3
