cost_function,value,name,level,method
all_time_peak_average,0.9840578314179489,District,district,cc_mcts
annual_normalized_unserved_energy_total,0.0,District,district,cc_mcts
carbon_emissions_total,1.0274990508797477,District,district,cc_mcts
cost_total,0.9545312176113588,District,district,cc_mcts
daily_one_minus_load_factor_average,0.9923597618105994,District,district,cc_mcts
daily_peak_average,1.0792583374861495,District,district,cc_mcts
discomfort_cold_delta_average,0.0,District,district,cc_mcts
discomfort_cold_delta_maximum,0.0,District,district,cc_mcts
discomfort_cold_delta_minimum,0.0,District,district,cc_mcts
discomfort_cold_proportion,,District,district,cc_mcts
discomfort_hot_delta_average,0.0,District,district,cc_mcts
discomfort_hot_delta_maximum,0.0,District,district,cc_mcts
discomfort_hot_delta_minimum,0.0,District,district,cc_mcts
discomfort_hot_proportion,,District,district,cc_mcts
discomfort_proportion,,District,district,cc_mcts
electricity_consumption_total,1.0638907592875848,District,district,cc_mcts
monthly_one_minus_load_factor_average,0.9911472376551929,District,district,cc_mcts
one_minus_thermal_resilience_proportion,,District,district,cc_mcts
power_outage_normalized_unserved_energy_total,,District,district,cc_mcts
ramping_average,1.1383283842238305,District,district,cc_mcts
zero_net_energy,1.0741828709695385,District,district,cc_mcts
electricity_consumption_total,1.0379501927958796,Building_1,building,cc_mcts
zero_net_energy,1.057542740540787,Building_1,building,cc_mcts
carbon_emissions_total,1.0073090532077629,Building_1,building,cc_mcts
cost_total,0.9462882930916875,Building_1,building,cc_mcts
discomfort_proportion,,Building_1,building,cc_mcts
discomfort_cold_proportion,,Building_1,building,cc_mcts
discomfort_hot_proportion,,Building_1,building,cc_mcts
discomfort_cold_delta_minimum,0.0,Building_1,building,cc_mcts
discomfort_cold_delta_maximum,0.0,Building_1,building,cc_mcts
discomfort_cold_delta_average,0.0,Building_1,building,cc_mcts
discomfort_hot_delta_minimum,0.0,Building_1,building,cc_mcts
discomfort_hot_delta_maximum,0.0,Building_1,building,cc_mcts
discomfort_hot_delta_average,0.0,Building_1,building,cc_mcts
one_minus_thermal_resilience_proportion,,Building_1,building,cc_mcts
power_outage_normalized_unserved_energy_total,,Building_1,building,cc_mcts
annual_normalized_unserved_energy_total,0.0,Building_1,building,cc_mcts
electricity_consumption_total,1.0463886620270466,Building_2,building,cc_mcts
zero_net_energy,1.051965623750435,Building_2,building,cc_mcts
carbon_emissions_total,1.0137348840591485,Building_2,building,cc_mcts
cost_total,0.9444007918872324,Building_2,building,cc_mcts
discomfort_proportion,,Building_2,building,cc_mcts
discomfort_cold_proportion,,Building_2,building,cc_mcts
discomfort_hot_proportion,,Building_2,building,cc_mcts
discomfort_cold_delta_minimum,0.0,Building_2,building,cc_mcts
discomfort_cold_delta_maximum,0.0,Building_2,building,cc_mcts
discomfort_cold_delta_average,0.0,Building_2,building,cc_mcts
discomfort_hot_delta_minimum,0.0,Building_2,building,cc_mcts
discomfort_hot_delta_maximum,0.0,Building_2,building,cc_mcts
discomfort_hot_delta_average,0.0,Building_2,building,cc_mcts
one_minus_thermal_resilience_proportion,,Building_2,building,cc_mcts
power_outage_normalized_unserved_energy_total,,Building_2,building,cc_mcts
annual_normalized_unserved_energy_total,0.0,Building_2,building,cc_mcts
electricity_consumption_total,1.0910427640694083,Building_3,building,cc_mcts
zero_net_energy,1.1536408081142397,Building_3,building,cc_mcts
carbon_emissions_total,1.0460227451305124,Building_3,building,cc_mcts
cost_total,0.9574939458775058,Building_3,building,cc_mcts
discomfort_proportion,,Building_3,building,cc_mcts
discomfort_cold_proportion,,Building_3,building,cc_mcts
discomfort_hot_proportion,,Building_3,building,cc_mcts
discomfort_cold_delta_minimum,0.0,Building_3,building,cc_mcts
discomfort_cold_delta_maximum,0.0,Building_3,building,cc_mcts
discomfort_cold_delta_average,0.0,Building_3,building,cc_mcts
discomfort_hot_delta_minimum,0.0,Building_3,building,cc_mcts
discomfort_hot_delta_maximum,0.0,Building_3,building,cc_mcts
discomfort_hot_delta_average,0.0,Building_3,building,cc_mcts
one_minus_thermal_resilience_proportion,,Building_3,building,cc_mcts
power_outage_normalized_unserved_energy_total,,Building_3,building,cc_mcts
annual_normalized_unserved_energy_total,0.0,Building_3,building,cc_mcts
electricity_consumption_total,1.0675781035919922,Building_4,building,cc_mcts
zero_net_energy,1.0386768249983807,Building_4,building,cc_mcts
carbon_emissions_total,1.0367894340551989,Building_4,building,cc_mcts
cost_total,0.9685605359647536,Building_4,building,cc_mcts
discomfort_proportion,,Building_4,building,cc_mcts
discomfort_cold_proportion,,Building_4,building,cc_mcts
discomfort_hot_proportion,,Building_4,building,cc_mcts
discomfort_cold_delta_minimum,0.0,Building_4,building,cc_mcts
discomfort_cold_delta_maximum,0.0,Building_4,building,cc_mcts
discomfort_cold_delta_average,0.0,Building_4,building,cc_mcts
discomfort_hot_delta_minimum,0.0,Building_4,building,cc_mcts
discomfort_hot_delta_maximum,0.0,Building_4,building,cc_mcts
discomfort_hot_delta_average,0.0,Building_4,building,cc_mcts
one_minus_thermal_resilience_proportion,,Building_4,building,cc_mcts
power_outage_normalized_unserved_energy_total,,Building_4,building,cc_mcts
annual_normalized_unserved_energy_total,0.0,Building_4,building,cc_mcts
electricity_consumption_total,1.076494073953597,Building_5,building,cc_mcts
zero_net_energy,1.0690883574438503,Building_5,building,cc_mcts
carbon_emissions_total,1.0336391379461154,Building_5,building,cc_mcts
cost_total,0.9559125212356148,Building_5,building,cc_mcts
discomfort_proportion,,Building_5,building,cc_mcts
discomfort_cold_proportion,,Building_5,building,cc_mcts
discomfort_hot_proportion,,Building_5,building,cc_mcts
discomfort_cold_delta_minimum,0.0,Building_5,building,cc_mcts
discomfort_cold_delta_maximum,0.0,Building_5,building,cc_mcts
discomfort_cold_delta_average,0.0,Building_5,building,cc_mcts
discomfort_hot_delta_minimum,0.0,Building_5,building,cc_mcts
discomfort_hot_delta_maximum,0.0,Building_5,building,cc_mcts
discomfort_hot_delta_average,0.0,Building_5,building,cc_mcts
one_minus_thermal_resilience_proportion,,Building_5,building,cc_mcts
power_outage_normalized_unserved_energy_total,,Building_5,building,cc_mcts
annual_normalized_unserved_energy_total,0.0,Building_5,building,cc_mcts
