cost_function,value,name,level,method,dynamic_schedule,semantic_param_path,scenario_name
all_time_peak_average,0.9840578314179489,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
annual_normalized_unserved_energy_total,0.0,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
carbon_emissions_total,1.0275063958667725,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
cost_total,0.9541214917850163,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
daily_one_minus_load_factor_average,0.9918124051732751,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
daily_peak_average,1.079747445001717,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_average,0.0,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_maximum,0.0,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_delta_minimum,0.0,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_cold_proportion,,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_average,0.0,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_maximum,0.0,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_delta_minimum,0.0,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_hot_proportion,,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
discomfort_proportion,,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
electricity_consumption_total,1.0643148605376602,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
monthly_one_minus_load_factor_average,0.9897668252108802,District,district,llm_cc_mcts_dynamic_tune_c_real,"0:cost_priority,3000:low_carbon_priority,6000:peak_aware",dynamic_switching,dynamic_switching
