cost_function,value,name,level,method
all_time_peak_average,0.9999999572157469,District,district,no_control
annual_normalized_unserved_energy_total,0.0,District,district,no_control
carbon_emissions_total,1.0000000003478322,District,district,no_control
cost_total,1.0000000004177836,District,district,no_control
daily_one_minus_load_factor_average,0.9999999998130742,District,district,no_control
daily_peak_average,0.9999999990980672,District,district,no_control
discomfort_cold_delta_average,0.0,District,district,no_control
discomfort_cold_delta_maximum,0.0,District,district,no_control
discomfort_cold_delta_minimum,0.0,District,district,no_control
discomfort_cold_proportion,,District,district,no_control
discomfort_hot_delta_average,0.0,District,district,no_control
discomfort_hot_delta_maximum,0.0,District,district,no_control
discomfort_hot_delta_minimum,0.0,District,district,no_control
discomfort_hot_proportion,,District,district,no_control
discomfort_proportion,,District,district,no_control
electricity_consumption_total,1.0,District,district,no_control
monthly_one_minus_load_factor_average,1.0000000014455752,District,district,no_control
one_minus_thermal_resilience_proportion,,District,district,no_control
power_outage_normalized_unserved_energy_total,,District,district,no_control
ramping_average,1.0000000021732487,District,district,no_control
zero_net_energy,1.0,District,district,no_control
electricity_consumption_total,1.0,Building_1,building,no_control
zero_net_energy,1.0,Building_1,building,no_control
carbon_emissions_total,1.0000000003026035,Building_1,building,no_control
cost_total,1.0000000004442806,Building_1,building,no_control
discomfort_proportion,,Building_1,building,no_control
discomfort_cold_proportion,,Building_1,building,no_control
discomfort_hot_proportion,,Building_1,building,no_control
discomfort_cold_delta_minimum,0.0,Building_1,building,no_control
discomfort_cold_delta_maximum,0.0,Building_1,building,no_control
discomfort_cold_delta_average,0.0,Building_1,building,no_control
discomfort_hot_delta_minimum,0.0,Building_1,building,no_control
discomfort_hot_delta_maximum,0.0,Building_1,building,no_control
discomfort_hot_delta_average,0.0,Building_1,building,no_control
one_minus_thermal_resilience_proportion,,Building_1,building,no_control
power_outage_normalized_unserved_energy_total,,Building_1,building,no_control
annual_normalized_unserved_energy_total,0.0,Building_1,building,no_control
electricity_consumption_total,1.0,Building_2,building,no_control
zero_net_energy,1.0,Building_2,building,no_control
carbon_emissions_total,1.0000000001230798,Building_2,building,no_control
cost_total,1.0000000003556542,Building_2,building,no_control
discomfort_proportion,,Building_2,building,no_control
discomfort_cold_proportion,,Building_2,building,no_control
discomfort_hot_proportion,,Building_2,building,no_control
discomfort_cold_delta_minimum,0.0,Building_2,building,no_control
discomfort_cold_delta_maximum,0.0,Building_2,building,no_control
discomfort_cold_delta_average,0.0,Building_2,building,no_control
discomfort_hot_delta_minimum,0.0,Building_2,building,no_control
discomfort_hot_delta_maximum,0.0,Building_2,building,no_control
discomfort_hot_delta_average,0.0,Building_2,building,no_control
one_minus_thermal_resilience_proportion,,Building_2,building,no_control
power_outage_normalized_unserved_energy_total,,Building_2,building,no_control
annual_normalized_unserved_energy_total,0.0,Building_2,building,no_control
electricity_consumption_total,1.0,Building_3,building,no_control
zero_net_energy,1.0,Building_3,building,no_control
carbon_emissions_total,1.0000000004561749,Building_3,building,no_control
cost_total,1.0000000006507948,Building_3,building,no_control
discomfort_proportion,,Building_3,building,no_control
discomfort_cold_proportion,,Building_3,building,no_control
discomfort_hot_proportion,,Building_3,building,no_control
discomfort_cold_delta_minimum,0.0,Building_3,building,no_control
discomfort_cold_delta_maximum,0.0,Building_3,building,no_control
discomfort_cold_delta_average,0.0,Building_3,building,no_control
discomfort_hot_delta_minimum,0.0,Building_3,building,no_control
discomfort_hot_delta_maximum,0.0,Building_3,building,no_control
discomfort_hot_delta_average,0.0,Building_3,building,no_control
one_minus_thermal_resilience_proportion,,Building_3,building,no_control
power_outage_normalized_unserved_energy_total,,Building_3,building,no_control
annual_normalized_unserved_energy_total,0.0,Building_3,building,no_control
electricity_consumption_total,1.0,Building_4,building,no_control
zero_net_energy,1.0,Building_4,building,no_control
carbon_emissions_total,1.0000000003586553,Building_4,building,no_control
cost_total,1.0000000003979028,Building_4,building,no_control
discomfort_proportion,,Building_4,building,no_control
discomfort_cold_proportion,,Building_4,building,no_control
discomfort_hot_proportion,,Building_4,building,no_control
discomfort_cold_delta_minimum,0.0,Building_4,building,no_control
discomfort_cold_delta_maximum,0.0,Building_4,building,no_control
discomfort_cold_delta_average,0.0,Building_4,building,no_control
discomfort_hot_delta_minimum,0.0,Building_4,building,no_control
discomfort_hot_delta_maximum,0.0,Building_4,building,no_control
discomfort_hot_delta_average,0.0,Building_4,building,no_control
one_minus_thermal_resilience_proportion,,Building_4,building,no_control
power_outage_normalized_unserved_energy_total,,Building_4,building,no_control
annual_normalized_unserved_energy_total,0.0,Building_4,building,no_control
electricity_consumption_total,1.0,Building_5,building,no_control
zero_net_energy,1.0,Building_5,building,no_control
carbon_emissions_total,1.0000000004986473,Building_5,building,no_control
cost_total,1.0000000002402851,Building_5,building,no_control
discomfort_proportion,,Building_5,building,no_control
discomfort_cold_proportion,,Building_5,building,no_control
discomfort_hot_proportion,,Building_5,building,no_control
discomfort_cold_delta_minimum,0.0,Building_5,building,no_control
discomfort_cold_delta_maximum,0.0,Building_5,building,no_control
discomfort_cold_delta_average,0.0,Building_5,building,no_control
discomfort_hot_delta_minimum,0.0,Building_5,building,no_control
discomfort_hot_delta_maximum,0.0,Building_5,building,no_control
discomfort_hot_delta_average,0.0,Building_5,building,no_control
one_minus_thermal_resilience_proportion,,Building_5,building,no_control
power_outage_normalized_unserved_energy_total,,Building_5,building,no_control
annual_normalized_unserved_energy_total,0.0,Building_5,building,no_control
