cost_function,value,name,level,method,dataset_id,schema_path,controller
all_time_peak_average,0.951147998489887,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
annual_normalized_unserved_energy_total,0.0,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
carbon_emissions_total,1.054698496333693,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
cost_total,1.0280091733437469,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
daily_one_minus_load_factor_average,0.9860730882197286,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
daily_peak_average,1.0224878157237425,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_average,0.0,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_maximum,0.0,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_minimum,0.0,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_proportion,,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_average,0.0,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_maximum,0.0,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_minimum,0.0,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_proportion,,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_proportion,,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
electricity_consumption_total,1.0792181257853177,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
monthly_one_minus_load_factor_average,0.9918529368869676,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
one_minus_thermal_resilience_proportion,,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
power_outage_normalized_unserved_energy_total,,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
ramping_average,1.0388951512292839,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
zero_net_energy,1.0564672426833075,District,district,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
electricity_consumption_total,1.0647287696913077,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
zero_net_energy,1.0439543200280155,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
carbon_emissions_total,1.044955097140895,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
cost_total,1.0195142764191492,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_proportion,,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_proportion,,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_proportion,,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_minimum,0.0,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_maximum,0.0,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_average,0.0,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_minimum,0.0,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_maximum,0.0,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_average,0.0,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
one_minus_thermal_resilience_proportion,,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
power_outage_normalized_unserved_energy_total,,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
annual_normalized_unserved_energy_total,0.0,Building_1,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
electricity_consumption_total,1.0664513131015532,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
zero_net_energy,1.0393988418978608,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
carbon_emissions_total,1.0449301674621092,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
cost_total,1.0222153496321509,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_proportion,,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_proportion,,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_proportion,,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_minimum,0.0,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_maximum,0.0,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_cold_delta_average,0.0,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_minimum,0.0,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_maximum,0.0,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
discomfort_hot_delta_average,0.0,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
one_minus_thermal_resilience_proportion,,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
power_outage_normalized_unserved_energy_total,,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
annual_normalized_unserved_energy_total,0.0,Building_2,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
electricity_consumption_total,1.1105835557613664,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
zero_net_energy,1.116191726897329,Building_3,building,official_rbc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,OptimizedRBC
