cost_function,value,name,level,method,dataset_id,schema_path,horizon,beam_width,exact
all_time_peak_average,1.064485410398536,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
annual_normalized_unserved_energy_total,0.0,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
carbon_emissions_total,1.0534396622144822,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
cost_total,0.9570361065714875,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
daily_one_minus_load_factor_average,1.0045864166759266,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
daily_peak_average,1.1559795865644542,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_average,0.0,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_maximum,0.0,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_minimum,0.0,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_proportion,,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_average,0.0,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_maximum,0.0,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_delta_minimum,0.0,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_proportion,,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_proportion,,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
electricity_consumption_total,1.0875497606018432,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
monthly_one_minus_load_factor_average,0.99932328015243,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
one_minus_thermal_resilience_proportion,,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
power_outage_normalized_unserved_energy_total,,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
ramping_average,1.089819711078946,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
zero_net_energy,1.0850915907376588,District,district,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
electricity_consumption_total,1.0577319819761173,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
zero_net_energy,1.0659803509062578,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
carbon_emissions_total,1.028824195683909,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
cost_total,0.9471487971491814,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_proportion,,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_proportion,,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_hot_proportion,,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_minimum,0.0,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_maximum,0.0,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
discomfort_cold_delta_average,0.0,Building_1,building,rolling_mpc,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,4,5,False
