cost_function,value,name,level,method,dataset_id,schema_path,agent,train_episodes,max_train_steps
all_time_peak_average,0.9998536778541974,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
annual_normalized_unserved_energy_total,0.0,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
carbon_emissions_total,0.9937135602788418,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
cost_total,0.9914645686105364,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
daily_one_minus_load_factor_average,0.9973997658575139,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
daily_peak_average,0.9904757197839524,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_average,0.0,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_maximum,0.0,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_delta_minimum,0.0,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_cold_proportion,,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_average,0.0,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_maximum,0.0,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_delta_minimum,0.0,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_hot_proportion,,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
discomfort_proportion,,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
electricity_consumption_total,0.9938499110552078,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
monthly_one_minus_load_factor_average,1.0000403940736489,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
one_minus_thermal_resilience_proportion,,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
power_outage_normalized_unserved_energy_total,,District,district,sac_baseline,cl_2022_p1,data/datasets/citylearn_challenge_2022_phase_1/schema.json,sac_rbc,1,
