cost_function,value,name,level,method
all_time_peak_average,1.2596673729681331,District,district,standard_mcts
annual_normalized_unserved_energy_total,0.0,District,district,standard_mcts
carbon_emissions_total,1.0281086976217808,District,district,standard_mcts
cost_total,1.0251430950189049,District,district,standard_mcts
daily_one_minus_load_factor_average,1.0180042683691843,District,district,standard_mcts
daily_peak_average,1.1803557750839995,District,district,standard_mcts
discomfort_cold_delta_average,0.0,District,district,standard_mcts
discomfort_cold_delta_maximum,0.0,District,district,standard_mcts
discomfort_cold_delta_minimum,0.0,District,district,standard_mcts
discomfort_cold_proportion,,District,district,standard_mcts
discomfort_hot_delta_average,0.0,District,district,standard_mcts
discomfort_hot_delta_maximum,0.0,District,district,standard_mcts
discomfort_hot_delta_minimum,0.0,District,district,standard_mcts
discomfort_hot_proportion,,District,district,standard_mcts
discomfort_proportion,,District,district,standard_mcts
electricity_consumption_total,1.028091337114406,District,district,standard_mcts
monthly_one_minus_load_factor_average,1.0185149163755625,District,district,standard_mcts
one_minus_thermal_resilience_proportion,,District,district,standard_mcts
power_outage_normalized_unserved_energy_total,,District,district,standard_mcts
ramping_average,1.5530030453308,District,district,standard_mcts
zero_net_energy,1.0699867924669773,District,district,standard_mcts
electricity_consumption_total,1.012044937493707,Building_1,building,standard_mcts
zero_net_energy,1.0545502493961196,Building_1,building,standard_mcts
carbon_emissions_total,1.0113851385867505,Building_1,building,standard_mcts
cost_total,1.0089954323943757,Building_1,building,standard_mcts
discomfort_proportion,,Building_1,building,standard_mcts
discomfort_cold_proportion,,Building_1,building,standard_mcts
discomfort_hot_proportion,,Building_1,building,standard_mcts
discomfort_cold_delta_minimum,0.0,Building_1,building,standard_mcts
discomfort_cold_delta_maximum,0.0,Building_1,building,standard_mcts
discomfort_cold_delta_average,0.0,Building_1,building,standard_mcts
discomfort_hot_delta_minimum,0.0,Building_1,building,standard_mcts
discomfort_hot_delta_maximum,0.0,Building_1,building,standard_mcts
discomfort_hot_delta_average,0.0,Building_1,building,standard_mcts
one_minus_thermal_resilience_proportion,,Building_1,building,standard_mcts
power_outage_normalized_unserved_energy_total,,Building_1,building,standard_mcts
annual_normalized_unserved_energy_total,0.0,Building_1,building,standard_mcts
electricity_consumption_total,1.0149266951006575,Building_2,building,standard_mcts
zero_net_energy,1.0487825143151728,Building_2,building,standard_mcts
carbon_emissions_total,1.014247656564662,Building_2,building,standard_mcts
cost_total,1.0110706882702085,Building_2,building,standard_mcts
discomfort_proportion,,Building_2,building,standard_mcts
discomfort_cold_proportion,,Building_2,building,standard_mcts
discomfort_hot_proportion,,Building_2,building,standard_mcts
discomfort_cold_delta_minimum,0.0,Building_2,building,standard_mcts
discomfort_cold_delta_maximum,0.0,Building_2,building,standard_mcts
discomfort_cold_delta_average,0.0,Building_2,building,standard_mcts
discomfort_hot_delta_minimum,0.0,Building_2,building,standard_mcts
discomfort_hot_delta_maximum,0.0,Building_2,building,standard_mcts
discomfort_hot_delta_average,0.0,Building_2,building,standard_mcts
one_minus_thermal_resilience_proportion,,Building_2,building,standard_mcts
power_outage_normalized_unserved_energy_total,,Building_2,building,standard_mcts
annual_normalized_unserved_energy_total,0.0,Building_2,building,standard_mcts
electricity_consumption_total,1.0363432571496864,Building_3,building,standard_mcts
zero_net_energy,1.1437220116408857,Building_3,building,standard_mcts
carbon_emissions_total,1.0357844463975243,Building_3,building,standard_mcts
cost_total,1.0327661267731096,Building_3,building,standard_mcts
discomfort_proportion,,Building_3,building,standard_mcts
discomfort_cold_proportion,,Building_3,building,standard_mcts
discomfort_hot_proportion,,Building_3,building,standard_mcts
discomfort_cold_delta_minimum,0.0,Building_3,building,standard_mcts
discomfort_cold_delta_maximum,0.0,Building_3,building,standard_mcts
discomfort_cold_delta_average,0.0,Building_3,building,standard_mcts
discomfort_hot_delta_minimum,0.0,Building_3,building,standard_mcts
discomfort_hot_delta_maximum,0.0,Building_3,building,standard_mcts
discomfort_hot_delta_average,0.0,Building_3,building,standard_mcts
one_minus_thermal_resilience_proportion,,Building_3,building,standard_mcts
power_outage_normalized_unserved_energy_total,,Building_3,building,standard_mcts
annual_normalized_unserved_energy_total,0.0,Building_3,building,standard_mcts
electricity_consumption_total,1.0274581989101719,Building_4,building,standard_mcts
zero_net_energy,1.037100263387389,Building_4,building,standard_mcts
carbon_emissions_total,1.0296883709311195,Building_4,building,standard_mcts
cost_total,1.0271954004816086,Building_4,building,standard_mcts
discomfort_proportion,,Building_4,building,standard_mcts
discomfort_cold_proportion,,Building_4,building,standard_mcts
discomfort_hot_proportion,,Building_4,building,standard_mcts
discomfort_cold_delta_minimum,0.0,Building_4,building,standard_mcts
discomfort_cold_delta_maximum,0.0,Building_4,building,standard_mcts
discomfort_cold_delta_average,0.0,Building_4,building,standard_mcts
discomfort_hot_delta_minimum,0.0,Building_4,building,standard_mcts
discomfort_hot_delta_maximum,0.0,Building_4,building,standard_mcts
discomfort_hot_delta_average,0.0,Building_4,building,standard_mcts
one_minus_thermal_resilience_proportion,,Building_4,building,standard_mcts
power_outage_normalized_unserved_energy_total,,Building_4,building,standard_mcts
annual_normalized_unserved_energy_total,0.0,Building_4,building,standard_mcts
electricity_consumption_total,1.0496835969178078,Building_5,building,standard_mcts
zero_net_energy,1.0657789235953197,Building_5,building,standard_mcts
carbon_emissions_total,1.0494378756288478,Building_5,building,standard_mcts
cost_total,1.0456878271752215,Building_5,building,standard_mcts
discomfort_proportion,,Building_5,building,standard_mcts
discomfort_cold_proportion,,Building_5,building,standard_mcts
discomfort_hot_proportion,,Building_5,building,standard_mcts
discomfort_cold_delta_minimum,0.0,Building_5,building,standard_mcts
discomfort_cold_delta_maximum,0.0,Building_5,building,standard_mcts
discomfort_cold_delta_average,0.0,Building_5,building,standard_mcts
discomfort_hot_delta_minimum,0.0,Building_5,building,standard_mcts
discomfort_hot_delta_maximum,0.0,Building_5,building,standard_mcts
discomfort_hot_delta_average,0.0,Building_5,building,standard_mcts
one_minus_thermal_resilience_proportion,,Building_5,building,standard_mcts
power_outage_normalized_unserved_energy_total,,Building_5,building,standard_mcts
annual_normalized_unserved_energy_total,0.0,Building_5,building,standard_mcts
