strategy,seed,period,target,start_step,end_step,steps,cost,carbon_kg,peak_kw,controller_peak_kw,mean_action,idle_fraction,end_mean_soc
dynamic,42,full,all,0,11,12,6.7082144487721305,6.922189770456555,8.055133443705238,,0.0083333333333333,0.9166666666666666,0.0698934629559517
dynamic,42,stage_1,cost_priority,0,3,4,3.962486028223037,2.9181510254397818,8.055133443705238,,0.0,1.0,0.0
dynamic,42,stage_2,low_carbon_priority,4,7,4,3.058916714032202,2.2225237800190047,4.260350078344345,,0.025,0.75,0.0698934629559517
dynamic,42,stage_3,peak_aware,8,11,4,-0.3131882934831083,1.7815149649977684,2.6775167919695377,,0.0,1.0,0.0698934629559517
fixed_carbon,42,full,all,0,11,12,6.7082144487721305,6.922189770456555,8.055133443705238,,0.0083333333333333,0.9166666666666666,0.0698934629559517
fixed_carbon,42,stage_1,cost_priority,0,3,4,3.962486028223037,2.9181510254397818,8.055133443705238,,0.0,1.0,0.0
fixed_carbon,42,stage_2,low_carbon_priority,4,7,4,3.058916714032202,2.2225237800190047,4.260350078344345,,0.025,0.75,0.0698934629559517
fixed_carbon,42,stage_3,peak_aware,8,11,4,-0.3131882934831083,1.7815149649977684,2.6775167919695377,,0.0,1.0,0.0698934629559517
fixed_cost,42,full,all,0,11,12,6.7082144487721305,6.922189770456555,8.055133443705238,,0.0083333333333333,0.9166666666666666,0.0698934629559517
fixed_cost,42,stage_1,cost_priority,0,3,4,3.962486028223037,2.9181510254397818,8.055133443705238,,0.0,1.0,0.0
fixed_cost,42,stage_2,low_carbon_priority,4,7,4,3.058916714032202,2.2225237800190047,4.260350078344345,,0.025,0.75,0.0698934629559517
fixed_cost,42,stage_3,peak_aware,8,11,4,-0.3131882934831083,1.7815149649977684,2.6775167919695377,,0.0,1.0,0.0698934629559517
fixed_peak,42,full,all,0,11,12,6.7082144487721305,6.922189770456555,8.055133443705238,,0.0083333333333333,0.9166666666666666,0.0698934629559517
fixed_peak,42,stage_1,cost_priority,0,3,4,3.962486028223037,2.9181510254397818,8.055133443705238,,0.0,1.0,0.0
fixed_peak,42,stage_2,low_carbon_priority,4,7,4,3.058916714032202,2.2225237800190047,4.260350078344345,,0.025,0.75,0.0698934629559517
fixed_peak,42,stage_3,peak_aware,8,11,4,-0.3131882934831083,1.7815149649977684,2.6775167919695377,,0.0,1.0,0.0698934629559517
