strategy,period,target,cost_mean,cost_std,cost_count,carbon_kg_mean,carbon_kg_std,carbon_kg_count,peak_kw_mean,peak_kw_std,peak_kw_count,controller_peak_kw_mean,controller_peak_kw_std,controller_peak_kw_count,mean_action_mean,mean_action_std,mean_action_count,idle_fraction_mean,idle_fraction_std,idle_fraction_count,end_mean_soc_mean,end_mean_soc_std,end_mean_soc_count
dynamic,full,all,6.7082144487721305,,1,6.922189770456555,,1,8.055133443705238,,1,,,0,0.0083333333333333,,1,0.9166666666666666,,1,0.0698934629559517,,1
dynamic,stage_1,cost_priority,3.962486028223037,,1,2.9181510254397818,,1,8.055133443705238,,1,,,0,0.0,,1,1.0,,1,0.0,,1
dynamic,stage_2,low_carbon_priority,3.058916714032202,,1,2.2225237800190047,,1,4.260350078344345,,1,,,0,0.025,,1,0.75,,1,0.0698934629559517,,1
dynamic,stage_3,peak_aware,-0.3131882934831083,,1,1.7815149649977684,,1,2.6775167919695377,,1,,,0,0.0,,1,1.0,,1,0.0698934629559517,,1
fixed_carbon,full,all,6.7082144487721305,,1,6.922189770456555,,1,8.055133443705238,,1,,,0,0.0083333333333333,,1,0.9166666666666666,,1,0.0698934629559517,,1
fixed_carbon,stage_1,cost_priority,3.962486028223037,,1,2.9181510254397818,,1,8.055133443705238,,1,,,0,0.0,,1,1.0,,1,0.0,,1
fixed_carbon,stage_2,low_carbon_priority,3.058916714032202,,1,2.2225237800190047,,1,4.260350078344345,,1,,,0,0.025,,1,0.75,,1,0.0698934629559517,,1
fixed_carbon,stage_3,peak_aware,-0.3131882934831083,,1,1.7815149649977684,,1,2.6775167919695377,,1,,,0,0.0,,1,1.0,,1,0.0698934629559517,,1
fixed_cost,full,all,6.7082144487721305,,1,6.922189770456555,,1,8.055133443705238,,1,,,0,0.0083333333333333,,1,0.9166666666666666,,1,0.0698934629559517,,1
fixed_cost,stage_1,cost_priority,3.962486028223037,,1,2.9181510254397818,,1,8.055133443705238,,1,,,0,0.0,,1,1.0,,1,0.0,,1
fixed_cost,stage_2,low_carbon_priority,3.058916714032202,,1,2.2225237800190047,,1,4.260350078344345,,1,,,0,0.025,,1,0.75,,1,0.0698934629559517,,1
fixed_cost,stage_3,peak_aware,-0.3131882934831083,,1,1.7815149649977684,,1,2.6775167919695377,,1,,,0,0.0,,1,1.0,,1,0.0698934629559517,,1
fixed_peak,full,all,6.7082144487721305,,1,6.922189770456555,,1,8.055133443705238,,1,,,0,0.0083333333333333,,1,0.9166666666666666,,1,0.0698934629559517,,1
fixed_peak,stage_1,cost_priority,3.962486028223037,,1,2.9181510254397818,,1,8.055133443705238,,1,,,0,0.0,,1,1.0,,1,0.0,,1
fixed_peak,stage_2,low_carbon_priority,3.058916714032202,,1,2.2225237800190047,,1,4.260350078344345,,1,,,0,0.025,,1,0.75,,1,0.0698934629559517,,1
fixed_peak,stage_3,peak_aware,-0.3131882934831083,,1,1.7815149649977684,,1,2.6775167919695377,,1,,,0,0.0,,1,1.0,,1,0.0698934629559517,,1
