time_step,semantic_scenario_key,semantic_param_path,scenario_name,action_value,prior_action,score,env_reward,planning_time_seconds,method,price_weight,carbon_weight,low_q,high_q,smooth_weight,peak_charge_penalty_weight
0,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.23024678589754782,-8.055133443705238,0.14977312088012695,dynamic,0.55,0.45,0.2,0.8,0.3,1.0
1,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.20171307456853285,-4.665883344936368,0.1429910659790039,dynamic,0.55,0.45,0.2,0.8,0.3,1.0
2,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.1957180865509834,-2.9147168214162207,0.13599205017089844,dynamic,0.55,0.45,0.2,0.8,0.3,1.0
3,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.18814543089797,-2.3755667322635645,0.1414778232574463,dynamic,0.55,0.45,0.2,0.8,0.3,1.0
4,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.2148508751823254,-2.979900163682302,0.14096808433532715,dynamic,0.48,0.52,0.2,0.8,0.3,1.5
5,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.23026873786696667,-3.5377333562533053,0.13847017288208008,dynamic,0.48,0.52,0.2,0.8,0.3,1.5
6,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.2397411671151669,-3.153466582298279,0.13949894905090332,dynamic,0.48,0.52,0.2,0.8,0.3,1.5
7,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.1,0.0,0.24566050380795387,-4.260350078344345,0.14110064506530762,dynamic,0.48,0.52,0.2,0.8,0.3,1.5
8,peak_aware,results/fixed_parameter_control/smoke/parameters/peak_aware.json,peak_load_control,0.0,0.0,0.30041088973689495,-3.2720500230789185,0.13541197776794434,dynamic,0.5,0.5,0.2,0.8,0.3,1.1
9,peak_aware,results/fixed_parameter_control/smoke/parameters/peak_aware.json,peak_load_control,0.0,0.0,0.328556486975669,-2.439316689968109,0.2882208824157715,dynamic,0.5,0.5,0.2,0.8,0.3,1.1
10,peak_aware,results/fixed_parameter_control/smoke/parameters/peak_aware.json,peak_load_control,0.0,0.0,0.3521425802852922,-1.7222501337528229,0.12304902076721191,dynamic,0.5,0.5,0.2,0.8,0.3,1.1
11,peak_aware,results/fixed_parameter_control/smoke/parameters/peak_aware.json,peak_load_control,0.0,0.0,0.38250544526047,-1.3070164322853088,0.11696195602416992,dynamic,0.5,0.5,0.2,0.8,0.3,1.1
