time_step,semantic_scenario_key,semantic_param_path,scenario_name,action_value,prior_action,score,env_reward,planning_time_seconds,method,price_weight,carbon_weight,low_q,high_q,smooth_weight,peak_charge_penalty_weight
0,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.26134914787891717,-8.055133443705238,0.15573906898498535,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
1,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.22837685923205545,-4.665883344936368,0.13925886154174805,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
2,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.22144931752288718,-2.9147168214162207,0.14613580703735352,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
3,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.21269869321273838,-2.3755667322635645,0.1485598087310791,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
4,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.2148508751823254,-2.979900163682302,0.13448810577392578,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
5,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.23026873786696667,-3.5377333562533053,0.14770984649658203,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
6,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.2397411671151669,-3.153466582298279,0.15081191062927246,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
7,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.1,0.0,0.24566050380795387,-4.260350078344345,0.14070892333984375,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
8,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.3112152041142495,-3.2720500230789185,0.1520540714263916,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
9,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.34048662524257456,-2.439316689968109,0.15307879447937012,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
10,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.3650161622845828,-1.7222501337528229,0.5193071365356445,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
11,low_carbon_priority,results/fixed_parameter_control/smoke/parameters/low_carbon_priority.json,low_carbon_priority,0.0,0.0,0.3965935418587676,-1.3070164322853088,0.12351012229919434,fixed_carbon,0.48,0.52,0.2,0.8,0.3,1.5
