time_step,semantic_scenario_key,semantic_param_path,scenario_name,action_value,prior_action,score,env_reward,planning_time_seconds,method,price_weight,carbon_weight,low_q,high_q,smooth_weight,peak_charge_penalty_weight
0,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.23024678589754782,-8.055133443705238,0.11932802200317383,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
1,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.20171307456853285,-4.665883344936368,0.12248420715332031,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
2,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.1957180865509834,-2.9147168214162207,0.11548376083374023,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
3,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.18814543089797,-2.3755667322635645,0.11708378791809082,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
4,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.19000789606395876,-2.979900163682302,0.12609171867370605,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
5,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.20335027723335986,-3.5377333562533053,0.13532614707946777,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
6,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.2115475717750716,-3.153466582298279,0.14234495162963867,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
7,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.1,0.0,0.2166700746822911,-4.260350078344345,0.13486695289611816,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
8,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.2734001037935085,-3.2720500230789185,0.1383528709411621,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
9,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.29873114130840517,-2.439316689968109,0.14423704147338867,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
10,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.31995862528706603,-1.7222501337528229,0.145920991897583,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
11,cost_priority,results/fixed_parameter_control/smoke/parameters/cost_priority.json,cost_优先,0.0,0.0,0.34728520376472605,-1.3070164322853088,0.1441650390625,fixed_cost,0.55,0.45,0.2,0.8,0.3,1.0
